[2024-03-28 12:32:42] No settings files found: /home/kingrain/Documents/min/mindustry server/mindustry-server/config/settings.bin and /home/kingrain/Documents/min/mindustry server/mindustry-server/config/settings_backup.bin
[2024-03-28 16:44:10] Saving 3 values; 71 bytes
[2024-03-28 16:45:10] Saving 3 values; 71 bytes
[2024-03-28 16:46:10] Saving 3 values; 71 bytes
[2024-03-28 16:47:10] Saving 3 values; 71 bytes
[2024-03-28 16:48:10] Saving 3 values; 71 bytes
[2024-03-28 16:49:10] Saving 3 values; 71 bytes
[2024-03-28 16:49:27] Saving 3 values; 71 bytes
[2024-03-28 16:49:27] Saving 3 values; 71 bytes
[2024-03-28 16:49:27] Saving 3 values; 71 bytes
[2024-03-28 16:50:10] Saving 3 values; 71 bytes
[2024-03-28 16:51:10] Saving 3 values; 71 bytes
[2024-03-28 16:52:10] Saving 3 values; 71 bytes
[2024-03-28 16:53:10] Saving 3 values; 71 bytes
[2024-03-28 16:54:10] Saving 3 values; 71 bytes
[2024-03-28 16:55:10] Saving 3 values; 71 bytes
[2024-03-28 16:56:10] Saving 3 values; 71 bytes
[2024-03-28 16:56:11] Saving 3 values; 71 bytes
[2024-03-28 16:56:11] Saving 3 values; 71 bytes
[2024-03-28 16:56:11] Saving 3 values; 71 bytes
[2024-03-28 16:57:10] Saving 3 values; 71 bytes
[2024-03-28 16:58:10] Saving 3 values; 71 bytes
[2024-03-28 16:59:10] Saving 3 values; 71 bytes
[2024-03-28 17:00:10] Saving 3 values; 71 bytes
[2024-03-28 17:01:10] Saving 3 values; 71 bytes
[2024-03-28 17:02:10] Saving 3 values; 71 bytes
[2024-03-28 17:02:30] Saving 3 values; 71 bytes
[2024-03-28 17:02:30] Saving 3 values; 71 bytes
[2024-03-28 17:02:31] Saving 3 values; 71 bytes
[2024-03-28 17:03:10] Saving 3 values; 71 bytes
[2024-03-28 17:04:10] Saving 3 values; 71 bytes
[2024-03-28 17:05:10] Saving 3 values; 71 bytes
[2024-03-28 17:06:10] Saving 3 values; 71 bytes
[2024-03-28 17:07:10] Saving 3 values; 71 bytes
[2024-03-28 17:07:59] Saving 3 values; 71 bytes
[2024-03-28 17:07:59] Saving 3 values; 71 bytes
[2024-03-28 17:07:59] Saving 3 values; 71 bytes
[2024-03-28 17:08:10] Saving 3 values; 71 bytes
[2024-03-28 17:09:10] Saving 3 values; 71 bytes
[2024-03-28 17:10:10] Saving 3 values; 71 bytes
[2024-03-28 17:11:10] Saving 3 values; 71 bytes
[2024-03-28 17:12:10] Saving 3 values; 71 bytes
[2024-03-28 17:13:10] Saving 8 values; 409 bytes
[2024-03-28 17:14:10] Saving 8 values; 409 bytes
[2024-03-28 17:14:43] Saving 8 values; 409 bytes
[2024-03-28 17:14:43] Saving 8 values; 409 bytes
[2024-03-28 17:14:43] Saving 8 values; 409 bytes
[2024-03-28 17:15:10] Saving 8 values; 409 bytes
[2024-03-28 17:16:10] Saving 8 values; 409 bytes
